Age,Review Text,Rating,Positive Feedback Count,Department Name
33,,4,0,Intimate
34,,5,4,Dresses
60,,3,0,Dresses
50,,5,0,Bottoms
47,,5,6,Tops
49,,2,4,Dresses
39,,5,1,Tops
39,,4,4,Tops
24,,5,0,Dresses
34,,5,0,Dresses
53,,3,14,Dresses
39,,5,2,Dresses
53,,5,2,Dresses
44,,5,0,Intimate
50,,3,1,Dresses
47,,4,3,Bottoms
34,,3,2,Bottoms
41,,5,0,Tops
32,,5,0,Jackets
47,,5,0,Dresses
33,,4,2,Tops
55,,4,14,Dresses
31,,2,7,Dresses
34,,3,0,Dresses
55,,5,0,Tops
31,,3,0,Intimate
33,,2,0,Tops
31,,4,0,Bottoms
53,,5,2,Intimate
28,,5,0,Tops
33,,5,0,Bottoms
46,,5,7,Bottoms
21,,5,0,Bottoms
36,,2,0,Tops
39,,5,0,Intimate
65,,4,3,Bottoms
29,,4,5,Bottoms
38,,5,1,Tops
36,,5,2,Intimate
59,,5,0,Tops
47,,4,1,Tops
40,,5,0,Tops
23,,5,0,Tops
67,,4,1,Intimate
48,,5,9,Tops
43,,4,0,Tops
40,,5,0,Tops
52,,5,0,Tops
56,,5,0,Tops
33,,5,0,Tops
46,,4,1,Tops
41,,5,2,Tops
39,,3,3,Dresses
39,,5,34,Tops
66,,4,2,Tops
61,,5,2,Tops
33,,2,3,Intimate
31,,3,0,Tops
36,,4,0,Dresses
52,,4,1,Intimate
41,,5,0,Dresses
36,,1,0,Intimate
28,,5,0,Tops
57,,5,1,Tops
43,,5,0,Tops
58,,4,2,Tops
60,,4,9,Tops
40,,5,1,Tops
37,,2,0,Tops
56,,3,1,Dresses
38,,4,10,Tops
36,,2,0,Tops
27,,5,4,Tops
47,,4,0,Tops
59,,5,1,Dresses
48,,5,5,Tops
31,,4,0,Dresses
28,,2,0,Tops
47,,5,1,Tops
62,,4,2,Dresses
68,,5,1,Dresses
61,,5,4,Tops
33,,5,0,Jackets
68,,5,3,Tops
37,,3,0,Tops
58,,1,2,Tops
39,,4,0,Tops
39,,4,9,Dresses
38,,2,4,Tops
24,,4,3,Tops
51,,4,0,Dresses
29,,5,5,Tops
23,,4,3,Tops
83,,5,14,Tops
44,,1,0,Tops
